zone.name,zone.class
Awinya Creek,East
Beelbi Creek,Southwest
Big Woody Island,Great Sandy Strait
Carland Creek,Tin Can Inlet
Central Hervey Bay,Central
Cooloola Creek,Tin Can Inlet
Coonarr Creek,Southwest
Coongul Creek,East
Cowra Point,Great Sandy Strait
Dayman Spit,Great Sandy Strait
Duck Island,Great Sandy Strait
Elliott River,Southwest
Fork Bank,Southern
Four Mile Reef,Southwest
Great Sandy Strait,Great Sandy Strait
Hervey Bay,Hervey Bay
Hervey Bay foreshore,Great Sandy Strait
Kinkuna,Southwest
Little Woody Island,Great Sandy Strait
Mangrove Point,Great Sandy Strait
Marsh Creek,Southwest
Myers Creek,Great Sandy Strait
Northern Fork Bank,Southern
Offshore Wathumba,East
Offshore Woodgate,Southwest
Pelican Bank,Southern
Pialba Reef,Great Sandy Strait
Platypus Bay,East
Poona,Great Sandy Strait
Rooney Point,East
Searys Creek,Tin Can Inlet
Southern Gutter,Hervey Bay
Southern Hervey Bay,Southern
Southern Tin Can Inlet,Tin Can Inlet
Southwestern Hervey Bay,Southwest
Teewah Point,Tin Can Inlet
Tinnanbar,Great Sandy Strait
"Turkey, Bookar, Walsh Islands",Great Sandy Strait
Twenty-Five Fathom Hole,Central
Urangan,Great Sandy Strait
Wanggoolba Creek,Great Sandy Strait
Woodgate,Southwest
Woralie,East
